Tract,Pop_Tot,Pop_18,%White,%Black,%Hispanic_Latino,%Asian,%Other,%Mixed,%Edu_hs,%Edu_bac,J_Tot,J_W_1,J_B_1,J_W_2,J_B_2,J_B_3,Median_Inc,Agg_Inc,M_Age_Wor,M_Age_All,Transit_all,Perc_Drive,Perc_Transit_all,Perc_Bus,Perc_Subway
36047070201,6402,5114,85.06716651046547,4.498594189315839,8.23180256169947,1.0777881911902532,0.718525460793502,0.4061230865354577,89.2843175596402,47.536175205318735,2824,1810,326,456,145,87,108669,433221500.0,44.3,49.1,602,73.90226628895185,21.31728045325779,7.790368271954675,13.526912181303116
36047073000,2278,1835,4.258121158911326,86.43546971027217,7.945566286215978,0.39508340649692714,0.0,0.9657594381035997,93.89645776566758,39.12806539509537,1055,415,251,314,21,54,91477,83707500.0,38.8,38.5,512,39.884393063583815,49.32562620423892,23.892100192678228,25.43352601156069
36047029900,2941,2202,6.494389663379803,64.33185991159469,25.365521931315875,2.17613056783407,0.17001020061203673,1.4620877252635158,81.01725703905541,18.7102633969119,1221,316,392,308,79,126,50144,60977200.0,37.7,35.2,919,15.033222591362128,76.32890365448505,9.634551495016613,64.45182724252491
36047031100,2924,2573,8.071135430916552,69.87004103967168,13.885088919288647,1.0259917920656634,1.7783857729138166,5.369357045143639,81.38359891177613,28.64360668480373,1532,622,390,374,109,37,37014,81627000.0,31.9,31.9,1137,10.340136054421768,77.3469387755102,16.122448979591837,58.57142857142858
36047031400,4978,4332,65.9501807955002,0.48212133386902367,5.3836882282040985,27.701888308557653,0.48212133386902367,0.0,79.33979686057249,31.71745152354571,2382,1072,482,479,175,174,80439,177269500.0,45.6,47.8,1009,48.72122762148338,43.009377664109124,8.567774936061381,33.887468030690535
36047044300,4587,3640,22.825376062786134,1.9402659690429473,55.72269457161544,17.920209287115764,0.5232177894048398,1.0682363200348812,76.92307692307693,37.44505494505495,2615,1052,691,359,288,225,50263,147378200.0,36.5,33.5,1804,13.080495356037153,69.81424148606811,2.7476780185758516,64.97678018575851
36047044600,2092,1502,37.76290630975143,0.47801147227533464,18.977055449330784,42.16061185468451,0.0,0.621414913957935,72.90279627163781,26.897470039946736,893,340,139,131,164,119,63708,51018300.0,41.0,35.7,483,31.431897555296857,56.22817229336437,8.963911525029102,47.26426076833528
36047045300,2578,2355,26.415826221877424,25.678820791311097,45.07370054305663,0.9309542280837859,0.0,1.900698215671063,73.63057324840764,24.75583864118896,1488,467,467,269,36,249,51953,59170600.0,33.8,34.3,965,11.538461538461538,66.27747252747253,5.700549450549451,59.958791208791204
36047048800,3896,2897,50.154004106776185,6.878850102669405,11.75564681724846,23.921971252566735,0.0,7.289527720739219,84.36313427683811,37.72868484639282,1608,827,235,328,65,153,54067,112585200.0,40.7,36.9,819,32.86978508217446,51.76991150442478,10.176991150442479,41.5929203539823
36047049100,7069,5743,19.56429480831801,8.997029282783986,39.38322252086575,31.73008912151648,0.3253642665157731,0.0,68.27442103430263,21.243252655406582,3469,1113,855,989,191,321,48566,183905400.0,36.1,36.0,2158,16.595873786407765,65.47330097087378,3.6711165048543686,61.80218446601942
36047049600,4093,3122,36.62350354263377,2.736379183972636,30.71096994869289,27.290495968727097,1.4170535059858296,1.221597849987784,77.45035233824471,42.28058936579116,2056,809,583,386,110,168,77115,124532300.0,40.2,36.8,1477,16.253716551040633,73.19127849355797,8.225966303270566,64.3211100099108
36047049900,1785,1581,78.03921568627452,1.1204481792717087,10.364145658263306,5.88235294117647,0.6722689075630253,3.9215686274509802,95.63567362428842,61.16382036685643,1348,783,206,236,75,48,76612,108944700.0,34.6,34.3,855,15.142428785607196,64.09295352323838,2.623688155922039,60.64467766116941
36047050400,4741,3768,54.12360261548197,14.216410040075933,17.232651339379878,9.344020248892638,1.6663151233916893,3.4170006327778952,95.67409766454352,60.24416135881104,2677,1754,291,446,35,151,98525,248514600.0,42.3,39.4,1738,15.23452157598499,65.21575984990619,5.5159474671669795,59.69981238273922
36047053300,6754,3475,96.9499555818774,0.39976310334616527,1.1992893100384956,1.2881255552265325,0.0,0.16286644951140067,76.34532374100719,8.748201438848922,1742,680,126,701,72,163,26976,115083500.0,35.5,18.7,369,23.65097588978186,21.182548794489094,15.786452353616534,5.39609644087256
36047055300,2740,2485,74.45255474452554,0.10948905109489052,18.503649635036496,4.562043795620438,0.0,2.3722627737226274,94.56740442655935,73.40040241448692,1986,1350,228,280,29,99,120069,199400000.0,32.6,32.8,1374,7.226463104325699,69.92366412213741,2.1374045801526718,65.29262086513995
36047056300,5390,4590,56.400742115027825,5.176252319109461,27.142857142857142,6.437847866419295,0.0,4.842300556586271,84.11764705882354,52.723311546840954,3063,1715,634,454,164,96,90948,254159800.0,33.5,34.1,2053,13.037723362011914,67.93514228987425,5.592322964923892,57.313037723362015
36047059401,7396,6386,54.691725256895616,0.662520281233099,4.8810167658193615,38.34505137912385,0.0,1.4196863169280693,81.7256498590667,40.087691825869086,3837,1600,825,703,331,378,61283,249976100.0,45.8,47.0,2273,26.069625298963594,60.4039330321552,7.972362476747276,52.086101514748876
36047060000,6277,5280,79.0505018320854,1.0036641707822207,4.9386649673410865,10.514577027242312,0.0,4.492592002548988,90.41666666666667,49.52651515151515,3628,1497,627,787,413,304,72342,249671800.0,39.5,40.1,1675,36.973610331274564,47.02414373947221,5.474452554744526,41.549691184727685
